fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
07a53ad036115832149886cd216a263347193fc22842e341da6d800102f64335,6257002108,335187483,Amazon,gb,5,What happened...?!,"The latest update is a major break from the past. Everything has moved. I’ll get used to it in time but for now it’s pretty jarring.

What I don’t understand is why this decision was taken. It’s extremely bold design, which would be ok if it was enjoyable. But I don’t like the colours, I don’t like the 20 different font sizes and I don’t like the everpresent menu. And I’m stuck with these unless I use a browser.

Thanks?","The latest update is a major break from the past. Everything has moved. I’ll get used to it in time but for now it’s pretty jarring.

What I don’t understand is why this decision was taken. It’s extremely bold design, which would be ok if it was enjoyable. But I don’t like the colours, I don’t like the 20 different font sizes and I don’t like the everpresent menu. And I’m stuck with these unless I use a browser.

Thanks?",ratmfan_andrew,15.15.0,2020-07-29T22:21:37Z,True,itunes_rss_mostHelpful,False,False
af6373f045c1347fb51a5695d554b6de5f647fb6514a1e41c85aae8fdfe34019,6254455455,335187483,Amazon,gb,3,BETTER AND WORSE,"Some UX improvements like the bottom navigation, but some awful omissions.
After clicking a product photo, previously user could return to main product screen with a swipe right, now have to reach the top of the screen for the cancel button and slows down the user experience.
Search and filters don't work well, relevancy is not weighted. For example, items that do not match all the search keywords appear in the results, can be seen when ordering by ascending price, search synthetic oil 5w40 5l and 1l (litre) products show up.","Some UX improvements like the bottom navigation, but some awful omissions.
After clicking a product photo, previously user could return to main product screen with a swipe right, now have to reach the top of the screen for the cancel button and slows down the user experience.
Search and filters don't work well, relevancy is not weighted. For example, items that do not match all the search keywords appear in the results, can be seen when ordering by ascending price, search synthetic oil 5w40 5l and 1l (litre) products show up.",Lozisung,15.15.0,2020-07-29T07:30:02Z,True,itunes_rss_mostHelpful,False,False
c1a34a96d9f0fca51f254975588a0ab0dbd2eaef8def00da6c6a0c4d0db2e63e,6251330796,335187483,Amazon,gb,2,No sharing items button with new update,"Tried to share a specific item from the app but I cannot not find the share button, after speaking to support they could find the share button them selves but they suggested to make a list and place the item in a list then share the list with someone, just to share one item which I find silly because it makes it 3-4 steps longer than it should be just to share one item, please revert back or re add the SHARE BUTTON PLEASE!!!!!","Tried to share a specific item from the app but I cannot not find the share button, after speaking to support they could find the share button them selves but they suggested to make a list and place the item in a list then share the list with someone, just to share one item which I find silly because it makes it 3-4 steps longer than it should be just to share one item, please revert back or re add the SHARE BUTTON PLEASE!!!!!",w41ty93,15.15.0,2020-07-28T12:24:35Z,True,itunes_rss_mostHelpful,False,False
6b2b58c0334b2f04058cf6b6c35b910c09ff5e62d0f4972aabe05ec7408aa9ea,6250781144,335187483,Amazon,gb,1,Dislike!,"Firstly, you went away from intuitive positioning to a confusing one. Before, after you choose something at the top, you just scroll down and have a nice shopping experience. Now it feels that you want me never forget that I have a basket, buy buy buy buy. Not smooth and not pleasant.

I don’t like the new colour scheme. Since colours are equally light (white light greenish light blueish) you need to concentrate.

Finally. Don’t be so sneaky! This wasn’t simply “fixing bugs”, you changed the design completely. State it up front. I wouldn’t update. To me previous version was just fine.","Firstly, you went away from intuitive positioning to a confusing one. Before, after you choose something at the top, you just scroll down and have a nice shopping experience. Now it feels that you want me never forget that I have a basket, buy buy buy buy. Not smooth and not pleasant. 

I don’t like the new colour scheme. Since colours are equally light (white light greenish light blueish) you need to concentrate. 

Finally. Don’t be so sneaky! This wasn’t simply “fixing bugs”, you changed the design completely. State it up front. I wouldn’t update. To me previous version was just fine.",L1617737621,15.15.0,2020-07-28T09:09:12Z,True,itunes_rss_mostHelpful,False,False
ab459c4df41539066192371a7c6f761702e2a0bdf60f9c32cb11a963650357c9,6249536318,335187483,Amazon,gb,2,Why change it?,"Updated app is just frustrating me. I dislike the new colours, which I know is a personal thing and everything being at the bottom isn’t easier for me. Worst of all though my share button has stopped working. I never realised just how much I rely on that until I was trying to organise my child’s birthday presents with faraway family. It’s like you don’t actually want us to buy anything from you. Please fix it.","Updated app is just frustrating me. I dislike the new colours, which I know is a personal thing and everything being at the bottom isn’t easier for me. Worst of all though my share button has stopped working. I never realised just how much I rely on that until I was trying to organise my child’s birthday presents with faraway family. It’s like you don’t actually want us to buy anything from you. Please fix it.",Eilz1,15.15.0,2020-07-28T00:40:14Z,True,itunes_rss_mostHelpful,False,False
c50777bcdff80b9bb5a11b4da62aedea4281986a6d3ef7bf13a9088286872f32,6240588230,335187483,Amazon,gb,5,I used to like the app,"The new update has done nothing of note but change colours and move stuff around. Why after so many years would you change something. If it ain’t broke, don’t fix it is clearly something the developers haven’t heard before. And why the hell can I still not buy and download kindle books using the app?

Edit: The app was reverted back to the old version a few days after this review but has now changed back again. You get nothing but bad reviews every time you push this ridiculous, user unfriendly update. People like the old version, it’s easy to Use, everything is easy to find and and it’s aesthetically pleasing. All things that this new version is not. Pleas stop trying to fix something that isn’t broke.","The new update has done nothing of note but change colours and move stuff around. Why after so many years would you change something. If it ain’t broke, don’t fix it is clearly something the developers haven’t heard before. And why the hell can I still not buy and download kindle books using the app?

Edit: The app was reverted back to the old version a few days after this review but has now changed back again. You get nothing but bad reviews every time you push this ridiculous, user unfriendly update. People like the old version, it’s easy to Use, everything is easy to find and and it’s aesthetically pleasing. All things that this new version is not. Pleas stop trying to fix something that isn’t broke.",Cophed,15.15.0,2020-07-25T15:03:22Z,True,itunes_rss_mostHelpful,False,False
1d5e077b41b36010806270ccd2cfaed28a2253d71f11cf759cfa0a693eebd4e3,6216428781,335187483,Amazon,gb,3,Problems using Subscribe And Save & One Click,"This app is ok for one click purchases and seeing my placed orders, but when it comes to using the Subscribe And Save option, it works for a short while and then it won’t show the Subscribe And Save option when I click on the item to subscribe to it. It’s very inconvenient. Plus, the one click option is now not showing at all despite being being selected in the settings.","This app is ok for one click purchases and seeing my placed orders, but when it comes to using the Subscribe And Save option, it works for a short while and then it won’t show the Subscribe And Save option when I click on the item to subscribe to it. It’s very inconvenient. Plus, the one click option is now not showing at all despite being being selected in the settings.",Stroppypaws,15.14.0,2020-07-19T13:01:14Z,True,itunes_rss_mostHelpful,False,False
bebd73ba15b183ceb8f73790201d024cb0980688d14145fbd08eea192675adf5,6130848905,335187483,Amazon,gb,1,Organisational discrimination,"There isn’t any option to complain. This is a repetitive and non-negotiable cycle (the definition of organisational discrimination). I’ve place an order multiple times now and all the feedback I get is ‘revise payment method’. It won’t highlight what’s wrong with the payment details and eBay doesn’t seem to have any problems with my payment details so I’m not sure what amazon’s problem is but if you won’t let me buy something, that’s fine by me. It’s my first and last time using this service. Be more transparent","There isn’t any option to complain. This is a repetitive and non-negotiable cycle (the definition of organisational discrimination). I’ve place an order multiple times now and all the feedback I get is ‘revise payment method’. It won’t highlight what’s wrong with the payment details and eBay doesn’t seem to have any problems with my payment details so I’m not sure what amazon’s problem is but if you won’t let me buy something, that’s fine by me. It’s my first and last time using this service. Be more transparent",Kameron Bautista,15.13.0,2020-06-28T06:42:33Z,True,itunes_rss_mostHelpful,False,False
30c6312b3cfa4c5071328525ab4a5fff8ab7ce7434493e0f0e3c4a8210409b62,6107862823,335187483,Amazon,gb,4,Gift card balance,"In the past, when purchasing goods, I could select “Change” on the payment to see the balance on my gift card. This helped me to decide whether to pay by credit card or use my gift card balance.
Now I don’t see the balance remaining on the gift card. Please can you include this again?","In the past, when purchasing goods, I could select “Change” on the payment to see the balance on my gift card. This helped me to decide whether to pay by credit card or use my gift card balance.
Now I don’t see the balance remaining on the gift card. Please can you include this again?",Zarafet,15.12.6,2020-06-22T11:11:57Z,True,itunes_rss_mostHelpful,False,False
d933d5ca9b1c6e20e37ab25f19ce145d09d5b21f059fbfab0f32e6cd7377c230,6077760530,335187483,Amazon,gb,3,Could Easily be Better,"For some reason, the developer thought it was a good idea to put the icon bar almost at the bottom of the page and obscuring some of the text and images on the page. It's a nuisance as it's on the page but does not move up or down when scrolling up or down, nor is it a footer or header to the page.

Apart from this, generally OK to use.","For some reason, the developer thought it was a good idea to put the icon bar almost at the bottom of the page and obscuring some of the text and images on the page. It's a nuisance as it's on the page but does not move up or down when scrolling up or down, nor is it a footer or header to the page.

Apart from this, generally OK to use.",Ottorino20,15.12.6,2020-06-15T07:29:06Z,True,itunes_rss_mostHelpful,False,False
d6ba1aa5ef9ee28cfdeb40cf2167bc143335f579f79cda597be64751f66e241c,6066347773,335187483,Amazon,gb,5,Customer Service,"A driver without Id, in a plain white van, left a parcel on my doorstep and demanded id and date of birth but couldn’t tell me why. I hadn’t ordered anything! He refused to leave it.
I complained on line and was promised the parcel would be redelivered but wouldn’t give me details of how to complain.
There has been no follow up, explanation or parcel delivered.","A driver without Id, in a plain white van, left a parcel on my doorstep and demanded id and date of birth but couldn’t tell me why. I hadn’t ordered anything! He refused to leave it.
I complained on line and was promised the parcel would be redelivered but wouldn’t give me details of how to complain.
There has been no follow up, explanation or parcel delivered.",website is poor,15.12.6,2020-06-12T10:29:06Z,True,itunes_rss_mostHelpful,False,False
412a9b7634e57b96f68cac3b74fbcd118fce903b36a52f5d03f26e2637eca11d,6050975862,335187483,Amazon,gb,5,Latest update made it slow,"It was ok until the latest update. Now things like searches or cart content don't load on my iPhone 8 plus and I just get a white screen in the middle with “still loading” which never seems to happen. Another problem seems to be around the cart and instructions to save things, it just refuses to carry it out and I have to quit and reload the app. Typical case of why fix it when it ain’t broke?","It was ok until the latest update. Now things like searches or cart content don't load on my iPhone 8 plus and I just get a white screen in the middle with “still loading” which never seems to happen. Another problem seems to be around the cart and instructions to save things, it just refuses to carry it out and I have to quit and reload the app. Typical case of why fix it when it ain’t broke?",Agibee,15.9.0,2020-06-08T14:15:23Z,True,itunes_rss_mostHelpful,False,False
8645c14785cfcd0c5a649fd53983314c94539780747850efda454c7aa6698927,5974176059,335187483,Amazon,gb,2,I hate this app,"It’s so hard to just do what I want. When I’m reality, it could all be so easy. Even wanting to just buy one thing from your basket requires me to remove everything else....WHY! In a shop I can fill a trolly and buy just one thing with real ease. Also products keep selling out in my basket but I get no warnings or notifications that it’s running low. And some of these product don’t come back.

Will be happy when another company makes an app I appreciate more so I can never use this useless waist of time again.","It’s so hard to just do what I want. When I’m reality, it could all be so easy. Even wanting to just buy one thing from your basket requires me to remove everything else....WHY! In a shop I can fill a trolly and buy just one thing with real ease. Also products keep selling out in my basket but I get no warnings or notifications that it’s running low. And some of these product don’t come back. 

Will be happy when another company makes an app I appreciate more so I can never use this useless waist of time again.",D-unit99,15.9.0,2020-05-21T10:53:56Z,True,itunes_rss_mostHelpful,False,False
6e26f1d85b67ad9919ea04cc1db183bbc011391c396de8826ddab24616355458,5965287670,335187483,Amazon,gb,3,Works well enough - but design and layout are sub-par,"For one of the leading companies on Earth, Amazon’s app designs are respectively awful. They feel incredibly outdated. The app functions well enough and is convenient, but that’s the most I can say in a positive light.

Everything feels to “large”, some filtering options are convoluted and finding details related to your account can be quite confusing/overwhelming.","For one of the leading companies on Earth, Amazon’s app designs are respectively awful. They feel incredibly outdated. The app functions well enough and is convenient, but that’s the most I can say in a positive light. 

Everything feels to “large”, some filtering options are convoluted and finding details related to your account can be quite confusing/overwhelming.",ADizzleGrizzle,15.8.2,2020-05-19T11:34:15Z,True,itunes_rss_mostHelpful,False,False
